STIN,SCRIPT,STOUTOK,STOUTNOK,SRVIN,SRVOUT
DUMMY,dummy.py,STARTUP,STERR,PROD,DIFF
STARTUP,queryFdw.py,DIFF_FDW_DONE,STERR,DIFF,DIFF
DIFF_FDW_DONE,databrugisDiffHarvest.py,DIFF_HARVEST_DONE,STERR,DIFF,PROD
DIFF_HARVEST_DONE,queryFdw.py,PROD_FDW_DONE,STERR,PROD,PROD
PROD_FDW_DONE,databrugisDown.py,PROD_DOWN_DONE,STERR,PROD,PROD
PROD_DOWN_DONE,prodImportAll.py,PROD_IMPORT_DONE,STERR,PROD,PROD
PROD_IMPORT_DONE,databrugisHarvest.py,PROD_HARVEST_DONE,STERR,PROD,PROD
PROD_HARVEST_DONE,databrugisDispatch.py,PROD_DISPATCH_DONE,STERR,PROD,STAGING
PROD_DISPATCH_DONE,stagingImportAll.py,STAGING_IMPORT_DONE,STERR,STAGING,DIFF
STAGING_IMPORT_DONE,diffImportAll.py,DIFF_IMPORT_DONE,STERR,DIFF,DIFF
DIFF_IMPORT_DONE,cleanupPublish.py,END,STERR,DIFF,END
